,phrases,count,clusters,total_count
0,work great,37,88,80
1,do not work,28,3,58
2,great coffee,26,58,86
3,hot water,21,50,71
4,good coffee,17,75,72
5,hot chocolate,16,57,64
6,great cup,15,7,59
7,do not buy,15,5,41
8,be great,14,65,59
9,great cup of coffee,14,29,67
10,great product,13,0,65
11,good cup,11,12,31
12,a good cup,11,69,42
13,good cup of coffee,10,76,43
14,do not like,10,1,60
15,hot coffee,9,36,111
16,love this machine,9,40,64
17,absolutely love,9,63,44
18,make good coffee,9,13,49
19,be very happy,8,53,35
20,will not work,8,64,44
21,would not recommend,8,37,66
22,love this keurig,7,82,54
23,recommend this product,7,61,74
24,be very happy with,7,27,63
25,excellent product,7,67,49
26,very nice,7,49,54
27,more water,7,26,46
28,be no longer,7,11,61
29,very disappointed,7,20,70
30,buy this machine,7,83,64
31,strong setting,6,24,43
32,perfect cup,6,91,30
33,hot cocoa,6,97,30
34,very frustrating,6,66,49
35,good product,6,59,37
36,good keurig,6,71,27
37,be amazing,6,35,63
38,have a problem,6,6,55
39,work well,6,56,46
40,great machine,6,48,88
41,do not waste,6,47,44
42,same problem,6,9,48
43,be not work,5,25,73
44,waste money,5,30,54
45,really enjoy,5,68,33
46,buy this one,5,28,37
47,purchase,5,33,63
48,buy another one,5,43,66
49,be miss,5,94,25
50,problem with,5,10,67
51,fast shipping,4,79,33
52,user friendly,4,98,51
53,be very frustrating,4,73,58
54,taste like plastic,4,46,39
55,have this problem,4,4,65
56,be much good,4,55,42
57,the strong setting,4,54,47
58,have work,4,19,39
59,strong coffee,4,38,49
60,love this coffee,4,99,43
61,be fine,4,41,52
62,buy this keurig,4,44,41
63,large tank,4,8,25
64,be awesome,4,84,27
65,be very pleased,4,2,47
66,to be clean,4,70,50
67,really like,4,31,61
68,purchase this coffee,4,74,78
69,love coffee,4,21,34
70,hot drink,3,95,34
71,like the fact,3,96,72
72,have waste,3,14,26
73,good thing,3,86,24
74,more time,3,77,38
75,waste time,3,45,30
76,single issue,3,15,27
77,as good as,3,39,30
78,be so easy,3,92,17
79,be ridiculous,3,72,34
80,will buy,3,90,15
81,machine clean,3,81,44
82,will last longer,3,93,42
83,defective keurig,2,42,71
84,work at all,2,78,26
85,reasonable price,2,60,76
86,product be awful,2,87,44
87,awesome product,2,80,38
88,absolutely hate,2,51,42
89,a great machine,2,18,38
90,option available,2,16,35
91,just as bad,2,89,24
92,total waste of money,2,17,48
93,display stop work,2,34,36
94,purchase the k475,2,23,26
95,completely useless,2,62,37
96,be very difficult,2,52,34
97,love be,2,32,17
98,can buy,2,22,17
99,be more secure,1,85,36
