,phrases,count,clusters,total_count
0,work great,47,40,127
1,love the color,43,32,90
2,great coffee,37,63,114
3,do not work,33,43,74
4,be great,26,9,57
5,love this coffee,21,15,84
6,do not like,18,56,62
7,great cup,17,49,79
8,good coffee,17,28,60
9,more water,16,33,56
10,love this keurig,16,62,82
11,great cup of coffee,15,35,76
12,great product,14,1,72
13,hot chocolate,13,42,55
14,so good,13,96,36
15,do not buy,13,12,34
16,beautiful color,13,55,82
17,far so good,13,57,45
18,love this machine,12,7,68
19,great color,12,93,73
20,very disappointed,10,30,55
21,buy this one,10,16,61
22,color be great,10,11,58
23,be perfect,10,44,72
24,hot cup of coffee,9,78,77
25,be very happy,8,51,48
26,hot cup,8,77,39
27,great machine,8,97,75
28,long time,8,36,62
29,good cup,8,52,44
30,a long time,7,71,49
31,be very pleased,7,65,48
32,awesome,7,69,52
33,perfect size,7,24,59
34,will not work,7,70,38
35,bad keurig,6,75,41
36,would recommend,6,20,53
37,buy this product,6,50,51
38,love coffee,6,2,54
39,be beautiful,6,4,53
40,absolutely love,6,22,63
41,good thing,6,27,55
42,waste money,6,47,35
43,good machine,6,10,50
44,and easy to use,5,76,56
45,taste great,5,87,50
46,be nice,5,68,43
47,clean the needle,5,58,51
48,strong brew,5,85,48
49,love keurig,5,81,40
50,have this problem,5,23,67
51,be very pleased with,5,83,46
52,have no problem,5,8,47
53,have any issue,5,59,43
54,a hot cup,5,19,51
55,daughter love,5,53,59
56,and hot,5,0,31
57,so disappointed,5,48,60
58,be very easy,5,72,36
59,be in love,5,45,42
60,strong setting,5,3,43
61,be a pain,5,5,45
62,delicious coffee,5,67,29
63,compact size,4,82,50
64,same problem,4,6,53
65,only issue,4,13,40
66,buy this keurig,4,25,53
67,add more water,4,61,46
68,buy another one,4,29,77
69,would like,4,26,25
70,like the water,4,54,51
71,in master,3,89,58
72,coffee ready,3,73,50
73,strong cup,3,98,45
74,a full refund,3,79,45
75,decent cup,3,37,29
76,the right size,3,66,36
77,dark roast,3,80,42
78,purchase this one,3,84,68
79,love love love,3,91,15
80,a decent cup,3,88,51
81,favorite,3,90,44
82,make a mess,3,46,15
83,would definitely recommend,3,95,48
84,in great condition,2,86,57
85,and pretty,2,64,42
86,not compatible,2,39,47
87,absolutely love this keurig,2,31,68
88,just buy,2,17,14
89,way more,2,14,43
90,the same issue,2,94,40
91,be so impressed,2,18,38
92,major problem,2,99,25
93,and fast shipping,2,38,41
94,correct size,2,41,37
95,as bad as,2,92,16
96,buy again,2,60,26
97,most efficient,1,74,56
98,more friendly,1,21,36
99,really awkward,1,34,16
