,phrases,count,clusters,total_count
0,hot water,62,77,169
1,work great,42,18,109
2,great coffee,42,42,174
3,do not work,38,75,87
4,good coffee,37,99,119
5,great product,36,71,122
6,be great,28,97,92
7,do not buy,27,47,89
8,love this coffee,22,12,118
9,great machine,18,19,111
10,absolutely love,18,94,83
11,love this machine,17,38,148
12,good cup,16,16,95
13,clean the needle,15,80,88
14,great cup,14,43,122
15,a good cup,13,60,70
16,do not like,12,69,80
17,love this keurig,12,54,121
18,will never buy,10,82,87
19,make good coffee,10,64,74
20,will not work,10,65,68
21,be very happy with,10,27,65
22,be very happy,10,84,51
23,perfect cup,10,87,107
24,very disappointed,10,1,106
25,love the keurig,9,95,76
26,nice feature,9,20,106
27,good product,9,3,87
28,excellent,9,35,67
29,excellent product,9,86,80
30,same problem,9,9,77
31,awesome,9,0,48
32,strong coffee,9,40,101
33,be very easy,8,32,84
34,hot cup,8,41,36
35,love keurig,8,56,75
36,strong brew,8,28,69
37,great price,8,66,88
38,do not waste,8,25,78
39,be not worth,7,8,61
40,highly recommend,7,24,101
41,top of the line,7,55,79
42,a great coffee maker,7,92,58
43,love the convenience,7,76,85
44,great tasting coffee,7,72,139
45,the same problem,7,70,138
46,have waste,6,59,63
47,buy another one,6,50,99
48,waste money,6,2,60
49,work very well,6,58,63
50,work like a charm,6,34,59
51,very happy with,6,36,43
52,be miss,6,53,74
53,so much easy,6,15,48
54,and easy to use,6,30,94
55,taste like plastic,6,63,81
56,negative review,6,17,48
57,buy this keurig,6,46,64
58,buy this machine,5,45,73
59,great addition,5,88,96
60,lot more,5,10,53
61,have clean,5,61,39
62,husband love,5,21,80
63,be noisy,5,22,63
64,and hot,5,49,54
65,recommend this product,5,14,97
66,buy again,5,62,64
67,not buy,5,33,40
68,be not hot,4,78,41
69,very noisy,4,52,36
70,very disappointing,4,6,75
71,nice cup,4,90,46
72,purchase this keurig,4,83,76
73,only complaint,4,68,79
74,fast delivery,4,31,101
75,never buy another keurig,4,48,66
76,really good coffee,4,85,55
77,as hot as,4,39,38
78,love this model,4,73,108
79,like have,3,96,22
80,pod be expensive,3,37,71
81,adjustable temperature,3,13,95
82,issue with,3,29,50
83,will break,3,57,47
84,very annoying,3,79,59
85,buy another keurig,3,81,72
86,and clean,3,11,48
87,have no issue,3,7,69
88,buy this unit,3,5,31
89,not have any issue,3,89,80
90,be clear,3,98,37
91,would love,3,51,25
92,amazing,3,26,22
93,be work perfectly,3,4,55
94,good thing,3,74,30
95,year with no problem,3,67,75
96,ready for work,2,91,38
97,buy bottled water,2,23,69
98,same price,2,44,51
99,a known issue,2,93,38
