,phrases,count,clusters,total_count
0,strong brew,19,72,34
1,work great,16,67,42
2,the strong brew,8,46,42
3,great coffee,7,28,34
4,great product,7,93,16
5,strong button,7,52,23
6,be easy to use,6,84,14
7,be perfect,6,0,30
8,love this coffee,6,5,30
9,hot chocolate,6,31,30
10,highly recommend,5,2,29
11,hot water,5,30,24
12,work very well,5,4,26
13,cheap plastic,5,10,20
14,so good,5,61,12
15,good coffee,5,51,35
16,hold more water,4,57,28
17,great cup,4,42,29
18,be perfect for,4,91,29
19,love this keurig,4,80,22
20,a nice cup,4,41,18
21,decent cup,4,86,19
22,be very happy,4,79,13
23,great machine,4,44,25
24,do not like,4,58,26
25,be very happy with,4,32,22
26,strong coffee,4,22,21
27,work just fine,3,27,25
28,nice cup of coffee,3,37,28
29,this be purchase,3,23,26
30,favorite,3,1,30
31,be good,3,69,15
32,great cup of coffee,3,96,26
33,do not buy,3,68,13
34,good product,3,25,14
35,far so good,3,29,13
36,be very disappointed,3,17,31
37,be delicious,3,36,16
38,istopp work,3,49,13
39,make great coffee,3,81,19
40,do not work,3,39,14
41,same problem,2,19,28
42,be very pleased,2,53,16
43,a long time,2,70,24
44,be cold,2,13,13
45,and hot,2,18,12
46,be so happy,2,90,12
47,a big mess,2,45,16
48,love as,2,47,14
49,excellent,2,78,14
50,be a waste,2,12,16
51,hot tea,2,77,17
52,only downside,2,33,20
53,be so happy with,2,21,23
54,a hard time,2,6,24
55,dark brew,2,82,12
56,like the size,2,66,17
57,the strong brew feature,2,16,19
58,take too long,2,98,13
59,knock off,2,8,5
60,be so glad,2,75,17
61,bad luck,2,14,14
62,awesome product,2,9,25
63,purchase on amazon,2,88,18
64,do not waste,2,7,14
65,be super easy,2,83,10
66,mother love,2,15,19
67,be amazing,2,62,16
68,be fail,2,92,10
69,good quality,2,20,16
70,be great,2,55,16
71,be very pleased with,2,35,18
72,fancy display,2,38,10
73,and convenient,2,73,13
74,only issue,2,11,16
75,will buy,2,94,7
76,work like a charm,2,24,15
77,be very tired,1,71,15
78,great quality,1,56,22
79,more nonsense,1,43,12
80,and expensive,1,97,17
81,like really hot,1,50,23
82,high standard,1,87,13
83,a good design,1,60,14
84,decent amount,1,76,26
85,like the auto,1,65,17
86,stupid keurig,1,26,15
87,be not usable,1,85,23
88,well as the k,1,3,18
89,not as sturdy,1,48,28
90,not enough of,1,54,15
91,keep clean as,1,34,15
92,be so limited,1,64,16
93,compact design,1,95,39
94,fabulous color,1,89,8
95,and attractive,1,40,12
96,lengthy brewing,1,59,18
97,pump cold water,1,63,24
98,a weak cup,1,99,4
99,problem with the auto,1,74,36
