,phrases,count,clusters,total_count
0,work great,13,81,25
1,great coffee,8,69,23
2,great machine,8,86,25
3,have purchase,7,59,33
4,do not work,6,23,18
5,so good,6,41,15
6,good coffee,6,6,24
7,highly recommend,5,75,20
8,far so good,5,3,20
9,love this machine,5,83,31
10,a great feature,4,78,26
11,taste like plastic,4,15,33
12,hot water,4,30,21
13,plastic stench,3,16,37
14,love this keurig,3,29,28
15,great quality,3,2,17
16,very hot,3,82,9
17,love this coffee,3,89,15
18,the good news,3,25,13
19,be happy,3,8,13
20,do not buy,3,77,17
21,hold more water,3,1,16
22,go strong,3,39,12
23,just fine,3,19,17
24,long time,3,90,15
25,be so easy,3,68,11
26,a long time,3,51,19
27,soapy water,3,33,14
28,great cup of coffee,3,32,23
29,look nice,3,80,18
30,so much good,3,22,9
31,be very easy,3,97,19
32,be much more,2,28,16
33,have work,2,47,9
34,buy the kit,2,20,10
35,be easy to use,2,73,16
36,perfect coffee,2,54,23
37,love with,2,72,16
38,work well,2,79,8
39,odor that,2,27,12
40,fast shipping,2,99,8
41,only complaint,2,67,15
42,a great addition,2,5,17
43,solid feel,2,10,15
44,can not recommend,2,91,15
45,be really nice,2,14,22
46,work great in office,2,26,23
47,have an issue,2,11,14
48,the high end,2,56,6
49,be adjustable,2,62,17
50,the good purchase,2,93,30
51,cheap one,2,13,13
52,nice cup,2,65,5
53,good machine,2,45,13
54,the counter top,2,52,16
55,stainless steel,2,92,11
56,counter top,2,12,15
57,buy this one,2,21,18
58,bit hot,2,70,10
59,awesome,2,53,12
60,very nice product,2,71,14
61,like the fact,2,4,22
62,nice machine,2,38,11
63,coworker love,1,44,10
64,great the good,1,42,16
65,high pressure,1,43,13
66,love automate,1,57,7
67,be super easy,1,18,5
68,not stop spew,1,49,11
69,too expensive,1,98,11
70,size can work,1,60,16
71,purchase even,1,74,14
72,terrible flaw,1,88,8
73,high capacity,1,55,8
74,be really bad,1,64,12
75,off available,1,24,13
76,will ever buy,1,40,10
77,fast delivery,1,37,18
78,fast nothing,1,84,10
79,a short time,1,48,13
80,a full refund,1,7,15
81,hard sediment,1,9,21
82,3 more remedy,1,34,11
83,taste horrible,1,61,18
84,clean the water,1,17,13
85,unit be clearly,1,58,14
86,appreciate help,1,46,16
87,mix fresh water,1,66,13
88,modern kitchen,1,76,21
89,run pretty hot,1,0,15
90,not very happy,1,63,13
91,be outstanding,1,87,17
92,problem so far,1,50,23
93,good voice,1,36,9
94,be amazing,1,96,11
95,a fast cup,1,35,9
96,crack in,1,85,5
97,day easy,1,95,4
98,any happy,1,94,2
99,really strong plastic,1,31,18
