,phrases,count,clusters,total_count
0,work great,197,31,463
1,great coffee,104,53,332
2,do not work,104,57,279
3,great product,77,95,234
4,good coffee,62,25,244
5,hot chocolate,60,92,204
6,istopp work,52,70,178
7,be great,49,49,243
8,great cup,49,89,212
9,great price,43,0,207
10,great cup of coffee,42,87,209
11,love this coffee,40,11,197
12,do not buy,38,98,189
13,very disappointed,36,8,226
14,so good,34,59,198
15,long time,33,5,152
16,love this keurig,32,39,168
17,far so good,32,42,173
18,have purchase,30,24,277
19,be very happy,30,75,165
20,good price,30,64,200
21,be very happy with,27,86,165
22,buy this keurig,26,47,122
23,love this machine,26,78,191
24,quit work,25,28,123
25,absolutely love,24,99,133
26,be very pleased,24,7,161
27,fresh cup,23,66,206
28,great machine,23,17,119
29,be not work,22,21,145
30,more water,22,36,190
31,really like,20,69,138
32,and easy to use,20,68,196
33,easy to use,20,83,132
34,buy this one,20,14,186
35,excellent coffee,19,82,141
36,the good,19,6,145
37,awesome,18,48,144
38,highly recommend,18,4,189
39,work very well,18,71,159
40,excellent product,17,27,168
41,would like,16,38,153
42,be very pleased with,15,55,148
43,only complaint,15,74,121
44,more coffee,15,63,151
45,very disappointing,14,85,163
46,do not waste,14,56,117
47,love and,13,97,102
48,work at all,13,62,91
49,just love,13,72,146
50,and easy,13,76,89
51,great gift,13,13,114
52,be in love,12,30,221
53,be perfect for,12,45,203
54,purchase this one,12,65,194
55,enough water,12,15,174
56,and clean,11,51,120
57,buy another one,11,91,155
58,problem with,11,20,169
59,buy this product,11,60,122
60,weak coffee,10,3,100
61,issue with,10,88,77
62,buy another keurig,10,50,117
63,buy a keurig,10,34,87
64,like the fact,10,93,136
65,will never buy,10,94,129
66,have clean,10,32,101
67,husband love,10,33,159
68,so much easy,9,23,104
69,would buy,9,9,71
70,loud noise,9,1,95
71,good machine,9,77,159
72,do not recommend,8,43,120
73,recommend this product,8,96,177
74,can buy,8,46,113
75,amazing,8,67,44
76,good investment,8,26,152
77,very frustrating,7,44,123
78,have an issue,7,54,86
79,get a lemon,7,73,108
80,more expensive model,7,18,128
81,be love,7,84,73
82,buy as a gift,7,10,83
83,hold more water,7,52,136
84,fast cup of coffee,6,40,145
85,hard water,6,80,130
86,have no issue,6,37,104
87,make delicious coffee,6,79,229
88,short time,6,58,145
89,the right amount,5,35,146
90,the only complaint,5,41,188
91,a short time,5,90,173
92,only drawback,4,16,66
93,absolutely love the keurig,4,29,132
94,poor quality,4,2,144
95,and quiet,4,22,113
96,the only drawback,4,61,138
97,prompt delivery,3,19,97
98,like that the water,3,12,98
99,be really disappointed,2,81,131
