,phrases,count,clusters,total_count
0,be great,11,77,24
1,be amazing,5,85,11
2,love this machine,5,21,29
3,a long time,5,54,16
4,good thing,5,55,11
5,great cup of coffee,5,0,24
6,be perfect,5,22,10
7,do not work,4,75,11
8,and clean,4,88,8
9,be so easy,4,7,21
10,be easy to use,4,35,14
11,or cold,4,11,7
12,great cup,4,62,19
13,long time,4,58,16
14,love this coffee,3,76,18
15,coffee be hot,3,74,14
16,great machine,3,56,15
17,highly recommend,3,15,21
18,be very happy,2,14,10
19,also love,2,53,6
20,the good purchase,2,79,14
21,machine be amazing,2,8,19
22,the good thing,2,45,13
23,really good,2,18,18
24,and delicious,2,24,8
25,the good part,2,12,15
26,be pleased,2,32,11
27,the expensive coffee,2,25,12
28,delicious,2,69,7
29,be a breeze,2,6,3
30,froth the milk perfectly,2,3,20
31,great job,2,5,13
32,really like,2,90,7
33,the right amount,2,44,17
34,warm milk,2,37,7
35,good part,2,78,9
36,not happy,2,27,12
37,right amount of foam,2,28,12
38,be super simple,2,39,11
39,be easy to clean,2,52,13
40,absolutely love,2,43,9
41,great improvement,2,64,14
42,really like the,2,30,7
43,love be,2,67,4
44,be delicious,2,97,11
45,be excellent,2,86,10
46,have never work,2,94,7
47,so good,2,36,7
48,stainless steel,2,34,7
49,disable the auto,2,71,15
50,so easy to use and,2,1,18
51,very good product,2,60,12
52,love with this machine,2,23,21
53,user friendly,1,9,6
54,actually like,1,96,11
55,shoot as well,1,70,7
56,make a variety,1,68,2
57,be so thrilled,1,17,22
58,not recommend,1,41,7
59,pretty similar,1,20,12
60,have purchase,1,89,11
61,be pretty cool,1,19,13
62,froth be warm,1,95,10
63,dripping after,1,33,11
64,or cold froth,1,66,8
65,and have love,1,61,4
66,no more money,1,99,4
67,be very picky,1,93,5
68,and cold milk,1,51,7
69,precious time,1,57,13
70,love this one,1,49,13
71,a perfect job,1,87,10
72,honest rating,1,59,20
73,the right one,1,31,11
74,be super fast,1,16,12
75,would not work,1,82,5
76,unit unusable,1,81,10
77,warm the milk,1,63,13
78,direction be short simple and clear,1,4,23
79,awesome coffee,1,72,10
80,strong espresso,1,65,9
81,love the option,1,80,12
82,be able to dump,1,46,14
83,much easy since,1,13,10
84,much cheap than,1,47,13
85,give the price,1,73,4
86,be always lack,1,26,3
87,cup compatible,1,10,23
88,clean the part,1,84,13
89,do not buy,1,2,6
90,u can buy,1,91,3
91,hot summer,1,50,9
92,issue with,1,38,7
93,cold milk,1,98,6
94,fall in love,1,83,8
95,easy way,1,29,3
96,so wrong,1,40,4
97,win win,1,48,1
98,the fancy,1,92,6
99,purchase several year,1,42,10
