,phrases,count,clusters,total_count
0,do not work,89,17,304
1,work great,82,59,194
2,perfect size,52,77,222
3,very disappointed,46,96,183
4,great coffee,45,10,178
5,do not buy,41,82,98
6,be great,34,92,108
7,good coffee,33,19,162
8,great product,33,75,172
9,do not like,31,15,118
10,be perfect,29,93,169
11,love the color,29,14,145
12,waste money,29,80,211
13,do not waste,28,32,136
14,hot coffee,27,79,192
15,hot water,26,55,255
16,great cup of coffee,26,78,131
17,a great cup,24,56,138
18,fresh water,23,50,122
19,would not recommend,22,44,143
20,have purchase,22,35,114
21,good cup,21,16,125
22,compact size,21,76,148
23,buy this keurig,20,26,143
24,buy this one,18,84,151
25,a long time,18,71,136
26,long time,18,18,128
27,same problem,16,61,163
28,work at all,15,69,71
29,have buy,14,95,83
30,so good,14,36,37
31,right size,14,98,91
32,great machine,14,11,131
33,will not work,14,99,98
34,already stop work,13,65,116
35,love this machine,13,5,153
36,be defective,13,46,123
37,be good,13,83,51
38,not happy,12,2,88
39,recommend this product,12,91,150
40,buy for,12,52,45
41,really like,12,37,67
42,good price,12,64,96
43,very disappointing,12,23,129
44,a good product,11,29,106
45,be break,11,7,110
46,as hot as,11,48,37
47,be fine,11,68,80
48,will never buy,11,43,73
49,be work,11,87,81
50,work like a charm,10,3,107
51,only complaint,10,57,97
52,purchase this keurig,10,47,124
53,work just fine,10,94,80
54,same issue,9,85,78
55,a short time,9,38,109
56,far so good,9,81,69
57,be very happy with,9,1,94
58,be very pleased,9,62,110
59,like the fact,9,24,95
60,not hot,9,97,67
61,problem with,8,12,115
62,buy this machine,8,70,79
63,work good,8,74,50
64,lukewarm coffee,8,86,134
65,bad keurig,8,13,82
66,decent cup,8,63,54
67,the same issue,8,60,78
68,be a pain,8,89,76
69,be not happy,8,42,68
70,do not purchase,7,45,148
71,look great,7,54,129
72,just quit work,7,39,74
73,buy a keurig,6,41,73
74,and easy,6,72,92
75,like the color,6,34,153
76,buy another one,6,4,114
77,fall in love,6,22,74
78,hard water,6,21,74
79,total waste,6,88,89
80,be very pleased with,6,67,131
81,will not drain,5,53,82
82,full refund,5,30,46
83,negative review,5,0,72
84,the good thing,5,58,70
85,be enjoy,5,6,81
86,buy again,5,8,41
87,have clean,5,40,51
88,so convenient,5,31,130
89,love with,4,90,72
90,great little coffee,4,66,98
91,purchase another one,4,27,139
92,a great machine,4,33,88
93,make more than,4,25,103
94,clean regularly,4,20,81
95,bad quality,3,49,55
96,will buy,3,73,29
97,finally bite the dust,3,28,115
98,be very difficult,2,9,78
99,buy a replacement,2,51,136
