,phrases,count,clusters,total_count
0,hot water,20,83,52
1,strong brew,11,33,31
2,work great,11,95,23
3,great coffee,9,60,39
4,be great,8,32,48
5,great cup,7,42,30
6,love this machine,7,19,30
7,hot chocolate,6,65,20
8,long time,5,70,27
9,love this keurig,5,84,24
10,make great coffee,4,45,28
11,good coffee,4,39,22
12,bad review,3,89,24
13,cheap plastic,3,5,17
14,be amazing,3,49,14
15,be very happy,3,92,10
16,be very happy with,3,31,14
17,absolutely love,3,7,14
18,highly recommend,3,14,21
19,good feature,3,44,24
20,will love,3,4,16
21,hot cup,3,34,9
22,be really nice,3,61,14
23,the good feature,3,10,19
24,so good,3,25,16
25,be awesome,3,80,14
26,work very well,3,86,11
27,more size,2,97,17
28,love this coffee,2,64,30
29,perfect cup of coffee,2,15,19
30,only complaint,2,81,7
31,do not disappoint,2,35,15
32,be helpful,2,1,7
33,good keurig,2,53,16
34,the large water tank,2,17,16
35,be so happy,2,73,16
36,strong coffee,2,58,21
37,nice machine,2,82,12
38,not as fancy,2,2,11
39,be no longer,2,21,25
40,reservoir be crack,2,56,14
41,not have any issue,2,30,30
42,exact same problem,2,27,26
43,high setting,2,40,19
44,have purchase,2,26,21
45,be very pleased with,2,38,11
46,of bad review,2,29,13
47,do not love,2,76,9
48,taste great,2,85,16
49,great quality,2,28,18
50,really like,2,72,14
51,hot cup of coffee,2,69,9
52,the long time,2,18,21
53,have hot coffee,2,13,19
54,love this thing,2,78,16
55,easy to use and,2,75,24
56,buy this coffee,2,55,22
57,be enjoy,2,37,15
58,be misleading,1,3,13
59,look far classy,1,6,10
60,great service,1,8,19
61,have just buy,1,96,8
62,strong strength,1,51,16
63,in good shape,1,46,13
64,like the gift,1,67,14
65,will gladly say,1,23,12
66,a lazy person,1,63,10
67,m just confused,1,62,10
68,very convenient,1,99,11
69,absolute crap,1,79,31
70,honestly miss,1,59,19
71,be so excited,1,52,17
72,a delicious cup,1,48,18
73,the strong brew,1,16,19
74,the good keurig,1,74,14
75,excellent taste,1,66,11
76,and good of all,1,91,9
77,pretty sturdy,1,20,11
78,digital alarm,1,36,5
79,be far superior,1,68,15
80,be up high on,1,12,19
81,of high water,1,71,18
82,work good for,1,9,5
83,very good cup,1,87,12
84,be more sleek,1,22,5
85,the only noise,1,77,22
86,great espresso,1,24,14
87,option be nice,1,50,17
88,be nice because,1,41,6
89,fantastic deal,1,94,17
90,extremely easy,1,11,11
91,be pretty cool,1,43,8
92,tank mean less,1,54,5
93,be a joke,1,47,5
94,classic k,1,57,4
95,a weak cup,1,88,2
96,far cry,1,98,4
97,say enough about this,1,93,15
98,recommend this keurig,1,0,11
99,want really good cup,1,90,18
