,phrases,count,clusters,total_count
0,work great,13,6,30
1,great coffee,8,14,31
2,great machine,8,66,23
3,have purchase,7,76,24
4,do not work,6,1,13
5,so good,6,38,16
6,good coffee,6,79,15
7,highly recommend,5,50,28
8,love this machine,5,2,20
9,a great feature,4,31,25
10,taste like plastic,4,39,13
11,hot water,4,55,14
12,plastic stench,3,51,28
13,make good coffee,3,75,15
14,love this keurig,3,61,23
15,great product,3,69,18
16,great quality,3,60,27
17,a great cup,3,35,15
18,very hot,3,90,14
19,love this coffee,3,53,15
20,the good news,3,34,29
21,be happy,3,73,7
22,have buy,3,99,10
23,do not buy,3,96,17
24,just fine,3,40,18
25,cheap plastic,3,67,16
26,long time,3,87,25
27,be so easy,3,3,17
28,good news,3,18,20
29,soapy water,3,54,14
30,great cup of coffee,3,10,16
31,look nice,3,20,10
32,so much good,3,65,21
33,good keurig,3,68,9
34,hot chocolate,3,5,16
35,be much more,2,84,14
36,have work,2,71,11
37,be very pleased,2,28,17
38,perfect for the office,2,80,26
39,buy the kit,2,33,12
40,be easy to use,2,95,16
41,love with,2,59,10
42,fast shipping,2,11,12
43,only complaint,2,27,20
44,a great addition,2,43,14
45,solid feel,2,44,17
46,good decision,2,15,12
47,plastic taste and smell,2,19,21
48,can not recommend,2,70,14
49,be really nice,2,88,16
50,do the trick,2,42,19
51,have an issue,2,94,14
52,only issue,2,4,17
53,the high end,2,82,18
54,perfect cup,2,45,15
55,brew more than,2,72,19
56,the good purchase,2,85,30
57,nice cup,2,26,9
58,the counter top,2,23,23
59,buy the k155,2,57,7
60,stainless steel,2,12,16
61,awesome product,2,9,13
62,counter top,2,74,13
63,buy this one,2,21,31
64,like coffee,2,36,8
65,very nice product,2,0,14
66,like the fact,2,52,20
67,purchase this model,2,29,33
68,good purchase,2,37,15
69,coworker love,1,62,13
70,brew very fast,1,25,15
71,high pressure,1,8,6
72,smell as soon,1,30,7
73,too expensive,1,92,19
74,size can work,1,47,9
75,terrible flaw,1,32,20
76,much good cup,1,22,10
77,be really bad,1,97,10
78,fast nothing,1,77,14
79,to quit work,1,41,7
80,be well take,1,89,6
81,a bad display,1,91,10
82,to uswe like,1,93,10
83,so very happy,1,56,9
84,only negative,1,78,14
85,hop the smell,1,58,21
86,such impurity,1,24,10
87,a full refund,1,17,9
88,3 more remedy,1,49,8
89,taste horrible,1,64,28
90,have well water,1,16,8
91,love the speed,1,83,10
92,advantage over,1,63,9
93,successful use,1,46,7
94,honest opinion,1,86,17
95,k155 stop work,1,81,4
96,amazing coffee,1,7,9
97,fast hot cup,1,48,7
98,pump fail,1,13,4
99,amazing  ,1,98,3
