,phrases,count,clusters,total_count
0,strong brew,19,87,37
1,work great,16,94,36
2,the strong brew,8,96,26
3,great coffee,7,91,37
4,great product,7,78,30
5,strong button,7,67,27
6,be easy to use,6,65,28
7,be perfect,6,56,34
8,more water,6,75,20
9,love this coffee,6,84,18
10,hot chocolate,6,83,22
11,the strong button,5,59,39
12,highly recommend,5,90,28
13,hot water,5,42,23
14,work very well,5,27,20
15,cheap plastic,5,71,27
16,so good,5,49,20
17,good coffee,5,38,22
18,hold more water,4,60,24
19,great cup,4,12,25
20,love this keurig,4,8,32
21,perfect size,4,0,28
22,a nice cup,4,32,27
23,be very happy,4,17,14
24,great machine,4,15,32
25,do not like,4,7,29
26,be very happy with,4,45,22
27,strong coffee,4,40,40
28,good price,4,63,12
29,cold water,4,25,25
30,nice cup of coffee,3,9,27
31,favorite,3,79,20
32,great cup of coffee,3,10,20
33,a fresh cup,3,44,24
34,do not buy,3,6,27
35,good product,3,35,16
36,be very disappointed,3,34,27
37,be delicious,3,20,28
38,the strong brew button,3,23,32
39,istopp work,3,24,19
40,make great coffee,3,80,20
41,would buy,2,14,11
42,same problem,2,98,17
43,strong option,2,82,20
44,be sufficient,2,81,23
45,be very pleased,2,37,24
46,and hot,2,33,13
47,be so happy,2,5,6
48,a big mess,2,64,19
49,love as,2,4,20
50,excellent,2,88,19
51,would like,2,74,16
52,hot tea,2,36,11
53,very disappointed,2,39,20
54,only downside,2,77,12
55,be too weak,2,13,20
56,a good cup,2,26,8
57,a hard time,2,95,18
58,dark brew,2,2,5
59,love the product,2,70,26
60,knock off,2,30,9
61,strong cup of coffee,2,43,25
62,purchase on amazon,2,31,24
63,be amazing,2,28,14
64,the good,2,99,21
65,great feature,2,19,17
66,work quite well,2,18,20
67,like new,2,52,8
68,fancy display,2,50,15
69,love too,2,16,18
70,be very nice,2,48,20
71,low end,2,58,18
72,only issue,2,51,16
73,strong cup,2,89,16
74,will buy,2,47,9
75,really bother,1,3,19
76,sneak once in,1,73,6
77,price will be,1,11,13
78,a normal work,1,92,8
79,very weak cup,1,76,10
80,high standard,1,72,10
81,be much sleek,1,57,8
82,get crazy drink,1,55,15
83,be not usable,1,29,18
84,negative mark,1,46,15
85,stop the burn,1,66,26
86,so convenient,1,86,16
87,compact size,1,1,8
88,be pretty upset,1,85,16
89,for low water,1,54,14
90,miss the senseo,1,62,18
91,the good news,1,21,8
92,at oncwe like,1,61,16
93,be really good,1,41,28
94,empty the tank,1,97,9
95,pump quit work,1,68,8
96,brewer be sleek,1,22,11
97,love the option,1,93,18
98,and quiet,1,69,12
99,be so impressed with,1,53,23
