,phrases,count,clusters,total_count
0,work great,197,95,634
1,great coffee,104,61,1114
2,great product,77,90,1183
3,do not buy,38,29,491
4,be very happy,30,54,530
5,be easy to use and,12,5,362
6,be not worth,9,38,336
7,more time,7,44,314
8,very happy,6,47,140
9,work for a couple,5,27,173
10,machine be great,4,97,233
11,same price,4,24,193
12,be no longer,4,59,195
13,short amount of time,3,32,220
14,like the convenience,3,12,145
15,disappoint,3,63,116
16,coffee be nice and hot,2,68,170
17,level be low,2,64,146
18,finally stop work,2,3,118
19,look so good,2,48,56
20,be not clog,2,15,154
21,bad idea,2,96,102
22,be extremely disappointed,2,51,131
23,an excellent coffee maker,2,40,118
24,make more,2,74,58
25,work for two month,2,23,66
26,love be,2,52,74
27,be so disappointed with,2,78,120
28,super fast delivery,2,20,77
29,love ne keurig,1,73,59
30,maker obsolete,1,79,80
31,for strong pod,1,70,60
32,bad box of cup,1,46,47
33,be lower price,1,76,83
34,simple luxury,1,26,74
35,purchase have,1,2,53
36,quit work again,1,39,37
37,have no trouble,1,86,92
38,the low to fill,1,55,73
39,keurig be great,1,43,79
40,excessive waste,1,85,50
41,read more about,1,6,120
42,buy last almost,1,37,45
43,grind too much,1,77,99
44,do really like,1,17,90
45,the right noise,1,99,88
46,work for 3 cup,1,81,46
47,leak really bad,1,57,82
48,not smooth,1,45,63
49,would hate,1,31,83
50,be a steal,1,49,63
51,a cold day,1,8,33
52,job as well,1,11,79
53,get no more,1,92,91
54,a hot cocoa,1,71,66
55,feel bad,1,56,93
56,weak cup,1,93,40
57,confuse,1,50,106
58,of worry,1,30,57
59,weak side,1,22,71
60,out clear,1,66,100
61,bad motor,1,0,70
62,like a coffee,1,89,74
63,a total lemon,1,10,84
64,the low line,1,33,117
65,like this k55,1,84,73
66,be very solid,1,35,125
67,a hot tea pot,1,72,59
68,damage less,1,94,83
69,do be trash,1,82,112
70,stay hot for,1,34,64
71,never be buy,1,16,78
72,be not clear,1,91,116
73,nothing like,1,87,83
74,not make this purchase,1,7,145
75,be defective since day,1,75,151
76,consumption have great,1,28,129
77,not trust how sanitary,1,62,78
78,more expensive version,1,98,76
79,a loud noise brewing,1,69,175
80,machine be quite nice,1,21,189
81,right on the machine,1,14,224
82,seem especially strong for,1,67,232
83,actually love the coffeemaker,1,1,207
84,use without some leaking,1,65,201
85,complain about the screen,1,19,192
86,and easy to make beverage,1,41,157
87,die after 2 month,1,80,157
88,a sincere apology,1,42,156
89,to research drain,1,9,164
90,wonder how fresh,1,58,149
91,coffee right now,1,88,157
92,clear a blockage,1,18,132
93,reliable product,1,53,155
94,machine be terribly,1,25,173
95,not beat the price,1,4,189
96,machine be horrible,1,36,183
97,one be really nice,1,83,172
98,and delicious tea,1,60,172
99,be more noticeable,1,13,189
