,phrases,count,clusters,total_count
0,do not work,89,56,599
1,perfect size,52,97,887
2,very disappointed,46,0,753
3,do not buy,41,96,332
4,have buy,14,43,90
5,be very happy,11,26,259
6,will not buy,6,42,171
7,like the color,6,67,247
8,limited counter space,5,35,144
9,buy this item,4,61,113
10,never work,4,41,107
11,really hot,3,74,120
12,have a problem,3,53,154
13,buy in april,3,93,66
14,totally stop work,3,14,76
15,be delicious,3,7,138
16,work after one month,2,50,118
17,be no mess,2,22,142
18,not buy this unit,2,83,90
19,be not impressed with,2,32,116
20,be very bad,2,44,51
21,very good coffee,2,25,96
22,this suck,2,31,76
23,awesome product,2,90,171
24,box be break,2,5,71
25,taste good,2,66,46
26,coffee taste great,2,59,48
27,a long return,1,76,54
28,very good for,1,34,40
29,very impressed,1,82,54
30,last good than,1,57,55
31,one work well,1,16,26
32,the sorry item,1,18,74
33,foolishly throw,1,95,46
34,the nice person,1,51,86
35,brand have lead,1,49,48
36,other hot drink,1,63,45
37,with cold water,1,13,78
38,would only work,1,62,27
39,make be sad sad,1,89,20
40,reopen the top,1,65,68
41,be more market,1,2,38
42,a short amount,1,77,59
43,put more waste,1,29,83
44,.never will buy,1,91,44
45,quickly make a,1,9,35
46,good to have a,1,87,53
47,fail water,1,73,62
48,buy cousin,1,39,66
49,tear worth,1,45,77
50,nice coffee,1,88,57
51,buy in july,1,78,62
52,low mineral,1,12,56
53,ve waste,1,20,52
54,and weak,1,46,33
55,be loud,1,23,59
56,hot coco,1,52,54
57,feel dupe,1,94,32
58,fast brew,1,81,45
59,not clear,1,99,73
60,thank yet,1,4,34
61,love mine,1,54,46
62,not too loud,1,33,45
63,work because,1,58,44
64,be consistent,1,86,90
65,brew lukewarm,1,10,47
66,$ 70.00 waste,1,85,39
67,what be wrong,1,40,84
68,be addicted,1,19,76
69,buy the one,1,60,76
70,take to work,1,80,57
71,be less work,1,8,59
72,price do not,1,36,110
73,longer have the water,1,48,129
74,money on this purchase,1,55,124
75,button will illuminate,1,30,83
76,be apprehensive about,1,1,117
77,absolutely not worth,1,79,104
78,unhappy with shipping,1,75,55
79,money be refund very,1,15,60
80,burden for a machine,1,47,106
81,deliver erratic performance,1,64,108
82,instruction be not helpful,1,72,141
83,have work perfectly evry time,1,92,134
84,poor history with keurig,1,24,120
85,problem with the design,1,6,129
86,flavor be great and nice,1,68,129
87,leak like a seive,1,27,104
88,clean this thing,1,71,104
89,be not clear what,1,84,86
90,want a refund not,1,11,90
91,one huge problem,1,98,98
92,work for 5 week,1,70,85
93,beyond delighted,1,37,112
94,buy in september,1,69,133
95,recently purchase a,1,21,151
96,an inferior product,1,3,162
97,be easy to carry on,1,38,150
98,the familiar noise,1,17,147
99,not impressed with,1,28,179
