,phrases,count,clusters,total_count
0,hot water,62,99,198
1,work great,42,69,121
2,great coffee,42,89,169
3,do not work,38,68,84
4,good coffee,37,77,122
5,great product,36,4,117
6,be great,28,8,113
7,do not buy,27,52,80
8,love this coffee,22,9,124
9,great machine,18,32,131
10,absolutely love,18,21,71
11,hot chocolate,17,57,91
12,love this machine,17,38,143
13,good cup,16,36,70
14,clean the needle,15,63,100
15,great cup of coffee,14,46,139
16,great cup,14,83,97
17,hot coffee,13,47,124
18,the hot water,13,24,76
19,do not like,12,6,97
20,love this keurig,12,48,80
21,have purchase,12,16,55
22,make great coffee,12,54,88
23,buy this one,11,35,124
24,far so good,11,81,81
25,will not work,10,82,60
26,be very happy with,10,15,63
27,be very happy,10,50,65
28,very disappointed,10,43,79
29,the good,10,0,82
30,love the keurig,9,22,92
31,excellent,9,58,48
32,good keurig,9,33,51
33,excellent product,9,87,92
34,same problem,9,94,65
35,awesome,9,3,68
36,be work,8,55,43
37,love this thing,8,26,53
38,hot cup,8,98,35
39,love keurig,8,20,38
40,highly recommend,7,61,101
41,top of the line,7,95,114
42,love the convenience,7,74,72
43,like coffee,7,96,47
44,love the coffee,7,84,72
45,the same problem,7,30,100
46,really like,7,19,58
47,will not buy,6,97,71
48,buy another one,6,62,78
49,work like a charm,6,27,58
50,be miss,6,44,76
51,so much easy,6,91,49
52,have a problem,6,49,72
53,and easy to use,6,34,57
54,long time,6,12,114
55,very nice,6,67,77
56,taste like plastic,6,72,58
57,buy this machine,5,10,79
58,husband love,5,37,46
59,be noisy,5,5,78
60,be wonderful,5,18,82
61,and hot,5,66,47
62,recommend this product,5,45,97
63,buy again,5,90,47
64,very pleased,5,75,79
65,be not compatible,5,14,116
66,strong setting,4,59,85
67,not buy this,4,92,47
68,only problem,4,80,80
69,just love,4,28,52
70,nice cup,4,2,37
71,be horrible,4,1,97
72,dispense hot water,4,79,124
73,a great job,4,71,59
74,high quality,4,31,29
75,as hot as,4,13,35
76,user friendly,4,85,75
77,very good,3,11,52
78,nice product,3,93,69
79,poor quality,3,39,35
80,like have,3,23,45
81,adjustable temperature,3,70,77
82,else have this problem,3,60,81
83,love the fact,3,76,65
84,work good,3,40,30
85,buy another keurig,3,17,89
86,great value,3,56,46
87,absolutely love this machine,3,42,104
88,work as describe,3,88,40
89,amazing,3,29,20
90,buy this product,3,41,62
91,plastic smell and taste,3,53,91
92,so easy to use and,3,64,74
93,more money,3,73,40
94,the hot water dispensing,3,25,91
95,miss a part,2,65,29
96,work perfectly,2,86,47
97,that quit work,2,7,23
98,high end,2,51,35
99,happy that,1,78,9
