,phrases,count,clusters,total_count
0,work great,47,83,73
1,love the color,43,33,98
2,great coffee,37,72,114
3,do not work,33,45,93
4,hot water,26,57,73
5,be great,26,13,97
6,do not like,18,96,68
7,great cup,17,23,99
8,good coffee,17,52,60
9,make great coffee,16,43,79
10,love this keurig,16,79,71
11,great cup of coffee,15,28,54
12,great product,14,39,62
13,hot chocolate,13,29,51
14,so good,13,34,52
15,do not buy,13,32,80
16,beautiful color,13,53,66
17,far so good,13,3,37
18,love this machine,12,16,66
19,great color,12,0,69
20,very disappointed,10,30,71
21,buy this one,10,17,59
22,color be great,10,81,60
23,be perfect,10,11,80
24,hot cup of coffee,9,87,62
25,hot cocoa,9,77,44
26,be very happy,8,55,35
27,great machine,8,85,59
28,long time,8,37,84
29,be very pleased,7,71,61
30,awesome,7,38,49
31,bad keurig,6,18,45
32,be work,6,58,44
33,would recommend,6,24,68
34,buy this product,6,47,37
35,love coffee,6,2,51
36,be beautiful,6,86,34
37,absolutely love,6,25,52
38,just love,6,64,44
39,waste money,6,40,51
40,great price,6,61,48
41,be good,6,62,40
42,and easy to use,5,73,56
43,taste great,5,75,35
44,be nice,5,20,33
45,clean the needle,5,63,48
46,strong brew,5,91,38
47,hold more water,5,92,68
48,have this problem,5,70,55
49,be very pleased with,5,46,66
50,have any issue,5,51,54
51,work like a charm,5,14,32
52,work perfect,5,36,28
53,so disappointed,5,93,31
54,be very easy,5,80,39
55,color be beautiful,5,95,56
56,be very happy with,5,42,50
57,be in love,5,90,47
58,strong setting,5,19,60
59,be a pain,5,7,43
60,great size,5,41,51
61,nice color,4,74,47
62,compact size,4,10,47
63,the good,4,44,49
64,same problem,4,1,47
65,not like,4,4,31
66,not like be,4,97,55
67,like the color,4,27,78
68,the same problem,4,5,71
69,fast shipping,4,31,31
70,only issue,4,56,53
71,tank be awkward,4,76,32
72,add more water,4,82,27
73,would like,4,59,23
74,be not hot,4,68,48
75,in master,3,69,43
76,just fine,3,98,39
77,purchase this one,3,48,85
78,love love love,3,99,13
79,love this product,3,6,51
80,be so happy,3,67,30
81,user friendly,3,35,37
82,look great,3,88,33
83,love the red,3,49,33
84,be fantastic,3,50,46
85,make a mess,3,21,15
86,the strong setting,3,65,69
87,would definitely recommend,3,94,73
88,not compatible,2,22,48
89,buy a brand,2,84,36
90,just buy,2,54,12
91,way more,2,89,29
92,great christmas,2,66,51
93,be thrilled,2,12,42
94,be so glad,2,8,39
95,be cheaply make,2,26,30
96,very pleased with this product,2,78,52
97,as bad as,2,15,15
98,clog when poke,1,9,27
99,pay much more,1,60,31
