,phrases,count,clusters,total_count
0,be great,11,60,18
1,be amazing,5,64,14
2,love this machine,5,20,26
3,a long time,5,35,19
4,good thing,5,73,10
5,great cup of coffee,5,42,30
6,be perfect,5,84,13
7,do not work,4,90,14
8,and clean,4,57,7
9,be so easy,4,99,10
10,be easy to use,4,53,15
11,or cold,4,75,9
12,be awesome,4,88,9
13,great cup,4,17,21
14,good purchase,3,68,13
15,love this coffee,3,23,21
16,be very easy,3,92,9
17,good coffee,3,16,9
18,be very happy,2,94,10
19,also love,2,85,7
20,the good purchase,2,29,15
21,the good thing,2,54,17
22,really good,2,83,12
23,and delicious,2,51,13
24,be pleased,2,26,2
25,the expensive coffee,2,59,18
26,be a breeze,2,14,4
27,froth the milk perfectly,2,2,12
28,great job,2,15,11
29,really like,2,63,9
30,the right amount,2,78,17
31,warm milk,2,24,7
32,good part,2,98,8
33,not happy,2,43,8
34,nice foam,2,21,10
35,or cold latte,2,33,14
36,frother be great,2,95,11
37,be super simple,2,32,8
38,be easy to clean,2,31,15
39,absolutely love,2,93,10
40,great improvement,2,81,17
41,the good coffee,2,52,18
42,really like the,2,71,9
43,be delicious,2,61,11
44,be easy,2,34,7
45,be excellent,2,5,12
46,so good,2,39,7
47,stainless steel,2,89,8
48,strong brew,2,38,11
49,disable the auto,2,72,19
50,so easy to use and,2,55,12
51,dishwasher safe,2,30,7
52,be wonderful,2,8,23
53,actually like,1,91,11
54,make great cup,1,27,7
55,shoot as well,1,44,13
56,not recommend,1,10,17
57,like more bold,1,80,7
58,slowly notice,1,7,12
59,pretty similar,1,49,11
60,excellent unit,1,58,11
61,froth be warm,1,11,8
62,the good milk,1,70,16
63,boost be call,1,65,10
64,no more money,1,1,4
65,be very picky,1,40,9
66,be so perfect,1,0,10
67,and cold milk,1,25,6
68,precious time,1,12,8
69,be incredible,1,9,10
70,unfortunately,1,3,12
71,do not suffer,1,79,13
72,and hot cocoa,1,45,10
73,the right one,1,86,17
74,who want fast,1,6,6
75,miss not have,1,28,8
76,direction be short simple and clear,1,37,19
77,hot unlike what,1,19,11
78,frother be miss,1,22,13
79,look very cheap,1,74,7
80,this hot summer,1,50,10
81,very happy with,1,18,8
82,do with the fat,1,69,11
83,operate awesome,1,87,8
84,the cheap model,1,46,20
85,forth a variety,1,66,16
86,be super happy,1,96,7
87,a broken water,1,77,10
88,be always lack,1,13,4
89,be not support,1,62,9
90,be priceless,1,82,7
91,like crazy,1,56,4
92,lot quiet,1,41,6
93,win a lot,1,47,12
94,u can buy,1,4,4
95,so wrong,1,36,5
96,buy when,1,67,5
97,nice product,1,48,18
98,cappuccino impossible,1,76,7
99,machine make fantastic,1,97,9
